symbol,name,sector
AADI.JK,,
AALI.JK,Astra Agro Lestari,Consumer Defensive
ABBA.JK,,
ABDA.JK,,
ABMM.JK,,
ACES.JK,Aspirasi Hidup Indonesia (Ace),Consumer Cyclical
ACRO.JK,,
ACST.JK,,
ADCP.JK,,
ADES.JK,,
ADHI.JK,Adhi Karya,Industrials
ADMF.JK,,
ADMG.JK,,
ADMR.JK,Adaro Minerals,Energy
ADRO.JK,Alamtri Resources (Adaro),Energy
AEGS.JK,,
AGAR.JK,,
AGII.JK,,
AGRO.JK,,
AGRS.JK,,
AHAP.JK,,
AIMS.JK,,
AISA.JK,,
AKKU.JK,,
AKPI.JK,,
AKRA.JK,AKR Corporindo,Energy
AKSI.JK,,
ALDO.JK,,
ALII.JK,,
ALKA.JK,,
ALMI.JK,,
ALTO.JK,,
AMAG.JK,,
AMAN.JK,,
AMAR.JK,,
AMFG.JK,,
AMIN.JK,,
AMMN.JK,,
AMMS.JK,,
AMOR.JK,,
AMRT.JK,Sumber Alfaria Trijaya,Consumer Defensive
ANDI.JK,,
ANJT.JK,,
ANTM.JK,Aneka Tambang,Basic Materials
APEX.JK,,
APIC.JK,,
APII.JK,,
APLI.JK,,
APLN.JK,,
ARCI.JK,,
AREA.JK,,
ARGO.JK,,
ARII.JK,,
ARKA.JK,,
ARKO.JK,,
ARMY.JK,,
ARNA.JK,,
ARTA.JK,,
ARTI.JK,,
ARTO.JK,Bank Jago,Financials
ASBI.JK,,
ASDM.JK,,
ASGR.JK,,
ASHA.JK,,
ASII.JK,Astra International,Industrials
ASJT.JK,,
ASLC.JK,,
ASLI.JK,,
ASMI.JK,,
ASPI.JK,,
ASRI.JK,,
ASRM.JK,,
ASSA.JK,,
ATAP.JK,,
ATIC.JK,,
ATLA.JK,,
AUTO.JK,,
AVIA.JK,,
AWAN.JK,,
AXIO.JK,,
AYAM.JK,,
AYLS.JK,,
BABP.JK,,
BABY.JK,,
BACA.JK,,
BAIK.JK,,
BAJA.JK,,
BALI.JK,,
BANK.JK,,
BAPA.JK,,
BAPI.JK,,
BATA.JK,,
BATR.JK,,
BAUT.JK,,
BAYU.JK,,
BBCA.JK,Bank Central Asia,Financials
BBHI.JK,,
BBKP.JK,,
BBLD.JK,,
BBMD.JK,,
BBNI.JK,Bank Negara Indonesia,Financials
BBRI.JK,Bank Rakyat Indonesia,Financials
BBRM.JK,,
BBSI.JK,,
BBSS.JK,,
BBTN.JK,Bank Tabungan Negara,Financials
BBYB.JK,,
BCAP.JK,,
BCIC.JK,,
BCIP.JK,,
BDKR.JK,,
BDMN.JK,,
BEBS.JK,,
BEEF.JK,,
BEER.JK,,
BEKS.JK,,
BELI.JK,,
BELL.JK,,
BESS.JK,,
BEST.JK,,
BFIN.JK,BFI Finance Indonesia,Financials
BGTG.JK,,
BHAT.JK,,
BHIT.JK,,
BIKA.JK,,
BIKE.JK,,
BIMA.JK,,
BINA.JK,,
BINO.JK,,
BIPI.JK,,
BIPP.JK,,
BIRD.JK,,
BISI.JK,,
BJBR.JK,Bank BJB,Financials
BJTM.JK,,
BKDP.JK,,
BKSL.JK,,
BKSW.JK,,
BLES.JK,,
BLTA.JK,,
BLTZ.JK,,
BLUE.JK,,
BMAS.JK,,
BMBL.JK,,
BMHS.JK,,
